DATE,NGDPRNSAXDCIDQ
2008-01-01,1475278
2008-04-01,1536361.875
2008-07-01,1605665.875
2008-10-01,1545541.25
2009-01-01,1548190.875
2009-04-01,1600949.375
2009-07-01,1671853.25
2009-10-01,1631616.25
2010-01-01,1642356.25
2010-04-01,1709132
2010-07-01,1775109.875
2010-10-01,1737534.875
2011-01-01,1748731.25
2011-04-01,1816268.25
2011-07-01,1881849.75
2011-10-01,1840786.25
2012-01-01,1855580.25
2012-04-01,1929018.75
2012-07-01,1993632.25
2012-10-01,1948852.25
2013-01-01,1958395.5
2013-04-01,2036816.625
2013-07-01,2103598
2013-10-01,2057687.625
2014-01-01,2058584.875
2014-04-01,2137385.5
2014-07-01,2207343.5
2014-10-01,2161552.5
2015-01-01,2158040
2015-04-01,2238704.5
2015-07-01,2312843.5
2015-10-01,2272929.25
2016-01-01,2264721
2016-04-01,2355445
2016-07-01,2429260.5
2016-10-01,2385186.75
2017-01-01,2378146.5
2017-04-01,2473513
2017-07-01,2552297
2017-10-01,2508972
2018-01-01,2498697.5
2018-04-01,2603852.5
2018-07-01,2684332.25
2018-10-01,2638969.5
2019-01-01,2625180.5
2019-04-01,2735414
2019-07-01,2818812.75
2019-10-01,2769748
2020-01-01,2703027
2020-04-01,2589769.25
2020-07-01,2720481.25
2020-10-01,2709721.75
2021-01-01,2684445.5
2021-04-01,2773065.25
2021-07-01,2816492
2021-10-01,2846057
2022-01-01,2819332.75
2022-04-01,2924441.5
2022-07-01,2977925
2022-10-01,2988549
2023-01-01,2961539.5
2023-04-01,3075776.5
2023-07-01,3124993
2023-10-01,3139084.5
2024-01-01,3113019
2024-04-01,3230971
