series,date,value
abs,2015-01-01,281643.0
abs,2015-04-01,288307.0
abs,2015-07-01,297422.0
abs,2015-10-01,309569.0
abs,2016-01-01,295016.0
abs,2016-04-01,303738.0
abs,2016-07-01,316737.0
abs,2016-10-01,334206.0
abs,2017-01-01,328713.0
abs,2017-04-01,334692.0
abs,2017-07-01,347646.0
abs,2017-10-01,361259.0
abs,2018-01-01,346709.0
abs,2018-04-01,353933.0
abs,2018-07-01,367918.0
abs,2018-10-01,379200.0
abs,2019-01-01,362512.0
abs,2019-04-01,371603.0
abs,2019-07-01,382278.0
abs,2019-10-01,396345.0
abs,2020-01-01,367259.0
abs,2020-04-01,303124.0
abs,2020-07-01,368749.0
abs,2020-10-01,379358.0
abs,2021-01-01,371270.0
abs,2021-04-01,374428.0
abs,2021-07-01,378487.0
abs,2021-10-01,424517.0
abs,2022-01-01,422454.0
abs,2022-04-01,445013.0
abs,2022-07-01,458256.0
abs,2022-10-01,468181.0
abs,2023-01-01,443332.0
abs,2023-04-01,439683.0
abs,2023-07-01,463163.0
abs,2023-10-01,476726.0
abs,2024-01-01,464970.0
abs,2024-04-01,472447.0
growth_yoy,2016-01-01,4.748
growth_yoy,2016-04-01,5.352
growth_yoy,2016-07-01,6.494
growth_yoy,2016-10-01,7.958
growth_yoy,2017-01-01,11.422
growth_yoy,2017-04-01,10.191
growth_yoy,2017-07-01,9.759
growth_yoy,2017-10-01,8.095
growth_yoy,2018-01-01,5.475
growth_yoy,2018-04-01,5.749
growth_yoy,2018-07-01,5.831
growth_yoy,2018-10-01,4.966
growth_yoy,2019-01-01,4.558
growth_yoy,2019-04-01,4.992
growth_yoy,2019-07-01,3.903
growth_yoy,2019-10-01,4.521
growth_yoy,2020-01-01,1.309
growth_yoy,2020-04-01,-18.428
growth_yoy,2020-07-01,-3.539
growth_yoy,2020-10-01,-4.286
growth_yoy,2021-01-01,1.092
growth_yoy,2021-04-01,23.523
growth_yoy,2021-07-01,2.641
growth_yoy,2021-10-01,11.904
growth_yoy,2022-01-01,13.786
growth_yoy,2022-04-01,18.851
growth_yoy,2022-07-01,21.076
growth_yoy,2022-10-01,10.286
growth_yoy,2023-01-01,4.942
growth_yoy,2023-04-01,-1.198
growth_yoy,2023-07-01,1.071
growth_yoy,2023-10-01,1.825
growth_yoy,2024-01-01,4.881
growth_yoy,2024-04-01,7.452
growth_qoq,2015-04-01,2.366
growth_qoq,2015-07-01,3.162
growth_qoq,2015-10-01,4.084
growth_qoq,2016-01-01,-4.701
growth_qoq,2016-04-01,2.956
growth_qoq,2016-07-01,4.28
growth_qoq,2016-10-01,5.515
growth_qoq,2017-01-01,-1.644
growth_qoq,2017-04-01,1.819
growth_qoq,2017-07-01,3.87
growth_qoq,2017-10-01,3.916
growth_qoq,2018-01-01,-4.028
growth_qoq,2018-04-01,2.084
growth_qoq,2018-07-01,3.951
growth_qoq,2018-10-01,3.066
growth_qoq,2019-01-01,-4.401
growth_qoq,2019-04-01,2.508
growth_qoq,2019-07-01,2.873
growth_qoq,2019-10-01,3.68
growth_qoq,2020-01-01,-7.339
growth_qoq,2020-04-01,-17.463
growth_qoq,2020-07-01,21.65
growth_qoq,2020-10-01,2.877
growth_qoq,2021-01-01,-2.132
growth_qoq,2021-04-01,0.851
growth_qoq,2021-07-01,1.084
growth_qoq,2021-10-01,12.162
growth_qoq,2022-01-01,-0.486
growth_qoq,2022-04-01,5.34
growth_qoq,2022-07-01,2.976
growth_qoq,2022-10-01,2.166
growth_qoq,2023-01-01,-5.308
growth_qoq,2023-04-01,-0.823
growth_qoq,2023-07-01,5.34
growth_qoq,2023-10-01,2.928
growth_qoq,2024-01-01,-2.466
growth_qoq,2024-04-01,1.608
